,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Reggie Jackson,39:15,10,19,.526,4,12,.333,0,0,,1,5,6,4,1,0,5,1,24,+4
1,Paul George,38:59,10,26,.385,7,15,.467,7,8,.875,1,3,4,5,2,1,1,0,34,+1
2,Nicolas Batum,36:47,2,5,.400,1,4,.250,0,0,,1,9,10,3,0,1,0,2,5,+6
3,Terance Mann,27:15,3,4,.750,3,3,1.000,0,0,,1,3,4,1,1,0,0,4,9,+5
4,Marcus Morris,21:23,3,11,.273,0,5,.000,0,0,,0,3,3,1,0,0,0,1,6,-11
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Rajon Rondo,22:21,3,5,.600,2,2,1.000,0,0,,1,2,3,7,1,0,0,0,8,-14
7,Ivica Zubac,18:00,2,3,.667,0,0,,5,6,.833,2,1,3,0,0,0,1,3,9,0
8,Patrick Beverley,14:58,1,2,.500,0,1,.000,0,0,,0,2,2,1,1,0,0,1,2,-5
9,DeMarcus Cousins,13:18,4,10,.400,1,2,.500,2,3,.667,3,1,4,1,0,1,2,5,11,-11
10,Luke Kennard,7:44,2,3,.667,2,3,.667,0,0,,0,0,0,0,0,0,0,0,6,-5
11,Yogi Ferrell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Patrick Patterson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Daniel Oturu,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Amir Coffey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Jay Scrubb,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,40,88,.455,20,47,.426,14,17,.824,10,29,39,23,6,3,9,17,114,
