,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Deandre Ayton,41:16,8,14,.571,0,0,,3,3,1.000,9,13,22,3,1,4,3,4,19,+8
1,Mikal Bridges,39:21,3,6,.500,0,0,,0,0,,3,10,13,3,0,2,1,3,6,+3
2,Devin Booker,38:17,8,22,.364,0,5,.000,9,11,.818,0,2,2,0,2,0,5,6,25,+5
3,Chris Paul,37:30,6,22,.273,0,3,.000,6,7,.857,0,4,4,7,1,0,4,4,18,+3
4,Jae Crowder,34:19,1,8,.125,1,6,.167,0,0,,3,4,7,0,0,1,0,4,3,+4
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Cameron Payne,19:52,2,8,.250,1,2,.500,0,0,,0,2,2,3,0,1,1,1,5,+4
7,Cameron Johnson,17:02,2,4,.500,1,3,.333,0,0,,1,3,4,0,0,0,0,1,5,+1
8,Dario Šarić,6:43,1,1,1.000,1,1,1.000,0,0,,1,2,3,0,0,0,0,1,3,+1
9,Abdel Nader,5:22,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,2,0,-4
10,Torrey Craig,0:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-5
11,Jalen Smith,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,E'Twaun Moore,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Jevon Carter,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Langston Galloway,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Frank Kaminsky,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,31,86,.360,4,20,.200,18,21,.857,17,42,59,16,4,8,14,27,84,
