,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Bogdan Bogdanović,38:48,10,22,.455,7,16,.438,1,1,1.000,1,4,5,4,0,0,0,3,28,-17
1,Kevin Huerter,37:44,3,12,.250,2,7,.286,0,0,,1,2,3,7,2,1,2,4,8,-12
2,Lou Williams,35:13,8,15,.533,1,4,.250,0,0,,0,2,2,5,1,0,6,1,17,-15
3,John Collins,34:08,7,16,.438,3,5,.600,2,2,1.000,3,5,8,3,0,0,0,3,19,-16
4,Clint Capela,21:08,2,3,.667,0,0,,2,4,.500,4,4,8,1,0,3,1,2,6,-11
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Cam Reddish,22:53,3,5,.600,0,1,.000,1,1,1.000,0,4,4,2,2,1,2,3,7,+1
7,Danilo Gallinari,22:49,5,11,.455,2,4,.500,7,7,1.000,0,3,3,1,0,0,1,2,19,-3
8,Onyeka Okongwu,15:58,2,3,.667,0,0,,2,4,.500,4,2,6,0,0,0,0,1,6,+4
9,Kris Dunn,7:38,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,2,3,0,+6
10,Solomon Hill,1:05,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+2
11,Skylar Mays,0:52,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+2
12,Bruno Fernando,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
13,Nathan Knight,0:52,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
14,Tony Snell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Trae Young,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,41,90,.456,15,38,.395,15,19,.789,13,27,40,24,6,5,14,22,112,
