,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Tobias Harris,37:26,8,24,.333,1,5,.200,4,4,1.000,1,12,13,5,0,1,2,4,21,-8
1,Danny Green,30:57,4,10,.400,3,8,.375,0,0,,3,0,3,1,1,3,2,2,11,-7
2,Seth Curry,28:06,5,11,.455,0,4,.000,0,0,,0,2,2,2,0,0,1,2,10,-11
3,Ben Simmons,24:31,4,5,.800,0,0,,5,11,.455,3,9,12,3,1,0,1,5,13,+4
4,Joel Embiid,11:24,2,6,.333,0,2,.000,4,4,1.000,0,6,6,2,1,0,1,1,8,+2
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,George Hill,22:18,3,5,.600,3,5,.600,5,6,.833,1,0,1,2,0,0,1,1,14,+2
7,Tyrese Maxey,21:34,6,12,.500,2,3,.667,1,2,.500,0,1,1,2,1,1,1,4,15,-8
8,Mike Scott,16:37,0,4,.000,0,3,.000,0,0,,1,1,2,2,1,1,0,2,0,+5
9,Matisse Thybulle,15:08,3,6,.500,2,5,.400,0,0,,0,1,1,0,1,0,1,1,8,-9
10,Dwight Howard,13:39,0,3,.000,0,0,,1,4,.250,2,2,4,2,0,0,1,4,1,-10
11,Furkan Korkmaz,11:17,3,4,.750,1,2,.500,0,1,.000,1,2,3,0,1,0,0,3,7,+4
12,Shake Milton,7:03,2,6,.333,0,1,.000,2,2,1.000,0,0,0,0,0,0,0,1,6,-4
13,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Isaiah Joe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,40,96,.417,12,38,.316,22,34,.647,12,36,48,21,7,6,11,30,114,
