,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Bradley Beal,34:36,14,28,.500,1,6,.167,4,6,.667,0,4,4,3,1,0,1,0,33,-22
1,Russell Westbrook,29:07,2,10,.200,0,3,.000,6,10,.600,2,4,6,11,0,0,4,0,10,-16
2,Rui Hachimura,25:50,4,6,.667,1,1,1.000,2,3,.667,2,5,7,1,0,0,3,4,11,-6
3,Raul Neto,19:19,2,5,.400,0,2,.000,0,0,,1,2,3,1,0,0,0,2,4,-17
4,Alex Len,12:11,3,5,.600,0,0,,0,0,,3,2,5,0,1,0,0,2,6,-11
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Dāvis Bertāns,23:44,0,4,.000,0,4,.000,0,0,,0,2,2,0,0,0,0,6,0,-11
7,Ish Smith,23:20,5,14,.357,0,2,.000,0,0,,0,1,1,3,0,0,1,1,10,-10
8,Daniel Gafford,20:00,3,4,.750,0,0,,5,9,.556,4,2,6,1,1,1,1,1,11,-1
9,Chandler Hutchison,16:28,1,4,.250,0,0,,2,2,1.000,0,2,2,1,0,0,1,1,4,-17
10,Robin Lopez,10:15,2,3,.667,0,0,,0,0,,0,0,0,0,0,0,0,2,4,-12
11,Anthony Gill,7:58,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
12,Garrison Mathews,7:58,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,0,0,1,0,-1
13,Cassius Winston,5:29,1,3,.333,0,1,.000,0,0,,1,1,2,1,0,0,2,1,2,-2
14,Isaac Bonga,3:45,0,3,.000,0,1,.000,0,0,,0,0,0,0,0,1,0,0,0,+2
15,Team Totals,240,37,92,.402,2,22,.091,19,30,.633,13,27,40,22,3,2,13,21,95,
