,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Bradley Beal,42:51,9,23,.391,2,5,.400,7,8,.875,0,4,4,4,1,2,7,4,27,+8
1,Russell Westbrook,42:15,3,19,.158,0,4,.000,13,16,.813,6,15,21,14,2,0,4,5,19,+1
2,Rui Hachimura,41:32,8,12,.667,3,6,.500,1,2,.500,1,12,13,2,1,1,1,4,20,+7
3,Daniel Gafford,26:00,4,4,1.000,0,0,,4,7,.571,2,2,4,0,1,5,0,3,12,+9
4,Dāvis Bertāns,23:02,4,7,.571,3,6,.500,4,4,1.000,0,4,4,0,0,1,0,1,15,+2
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Raul Neto,21:40,3,6,.500,1,2,.500,4,5,.800,1,2,3,0,1,0,0,4,11,+8
7,Ish Smith,19:31,1,5,.200,0,0,,0,0,,0,3,3,3,2,1,1,3,2,+9
8,Robin Lopez,18:59,8,11,.727,0,0,,0,0,,3,2,5,0,0,2,0,0,16,+1
9,Anthony Gill,2:26,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1
10,Alex Len,1:23,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,2,0,-2
11,Isaac Bonga,0:21,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2
12,Chandler Hutchison,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Garrison Mathews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Cassius Winston,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Team Totals,240,40,88,.455,9,24,.375,33,42,.786,13,44,57,24,8,12,13,27,122,
