,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Jimmy Butler,45:40,.322,.227,.409,.455,7.6,12.9,10.1,29.6,2.1,1.8,18.5,30.2,75,98,-3.0
1,Bam Adebayo,40:36,.291,.267,.000,.067,8.6,19.3,13.6,21.2,3.6,0.0,6.1,17.3,85,93,-1.1
2,Trevor Ariza,38:19,.500,.500,.750,.000,2.3,28.2,14.4,4.3,1.3,2.1,11.1,10.0,95,94,0.7
3,Duncan Robinson,36:05,.838,.808,1.000,.231,0.0,5.4,2.6,11.4,0.0,0.0,12.3,19.3,139,105,10.5
4,Kendrick Nunn,22:41,.500,.500,.600,.000,0.0,17.3,8.1,8.8,0.0,0.0,16.7,22.5,82,102,-3.2
5,Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
6,Goran Dragić,34:39,.735,.735,.588,.000,2.5,2.8,2.7,7.4,1.4,0.0,19.0,25.8,107,103,6.7
7,Tyler Herro,19:10,.425,.300,.500,.400,0.0,10.2,4.8,27.2,0.0,4.3,7.8,28.4,95,102,4.2
8,Andre Iguodala,15:26,.500,.500,.500,.000,5.6,25.4,14.9,10.5,3.1,0.0,0.0,5.5,134,91,1.8
9,Dewayne Dedmon,12:24,.410,.500,.000,.500,7.0,7.9,7.4,0.0,0.0,0.0,0.0,8.4,97,104,-8.0
10,Udonis Haslem,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Max Strus,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Precious Achiuwa,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,KZ Okpala,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Nemanja Bjelica,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Gabe Vincent,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,265,.498,.465,.505,.192,19.7,72.2,44.3,61.1,7.3,4.6,13.7,100.0,97.1,98.9,
