,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Giannis Antetokounmpo,30:54,12,23,.522,1,7,.143,6,7,.857,6,7,13,6,3,1,2,2,31,+19
1,Jrue Holiday,30:39,5,12,.417,1,4,.250,0,0,,2,5,7,15,2,0,2,2,11,+37
2,Khris Middleton,24:00,4,5,.800,3,3,1.000,6,6,1.000,1,1,2,3,0,0,4,4,17,+28
3,Brook Lopez,23:06,2,5,.400,0,3,.000,3,4,.750,2,4,6,0,0,1,1,2,7,+13
4,Donte DiVincenzo,22:55,2,7,.286,1,6,.167,0,0,,2,5,7,4,2,0,3,3,5,+13
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Bryn Forbes,19:56,8,12,.667,6,9,.667,0,0,,0,5,5,0,0,0,2,3,22,+16
7,Pat Connaughton,19:25,5,9,.556,5,9,.556,0,0,,2,1,3,1,0,0,0,1,15,+4
8,Bobby Portis,17:59,3,6,.500,2,3,.667,3,3,1.000,2,3,5,0,1,1,1,2,11,+18
9,P.J. Tucker,17:28,1,2,.500,1,2,.500,0,0,,1,2,3,1,0,0,0,3,3,+7
10,Jordan Nwora,8:14,2,6,.333,1,3,.333,0,0,,1,1,2,0,0,1,0,0,5,+5
11,Sam Merrill,6:55,1,2,.500,1,2,.500,0,0,,0,1,1,1,0,0,0,1,3,+3
12,Mamadi Diakite,6:55,0,1,.000,0,0,,0,0,,1,1,2,0,0,1,0,2,0,+3
13,Elijah Bryant,6:55,0,1,.000,0,1,.000,0,0,,0,3,3,3,0,0,0,0,0,+3
14,Axel Toupane,4:39,1,3,.333,0,1,.000,0,0,,1,1,2,0,0,0,0,0,2,+1
15,Jeff Teague,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,46,94,.489,22,53,.415,18,20,.900,21,40,61,34,8,5,15,25,132,
