,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jimmy Butler,31:50,4,10,.400,0,0,,2,4,.500,2,0,2,4,2,0,1,1,10,-34
1,Bam Adebayo,28:38,5,11,.455,0,0,,6,9,.667,0,3,3,4,0,0,4,1,16,-18
2,Kendrick Nunn,25:21,4,14,.286,1,5,.200,0,0,,0,0,0,1,1,0,0,1,9,-20
3,Duncan Robinson,23:26,2,6,.333,2,6,.333,4,5,.800,0,4,4,1,1,0,0,1,10,-24
4,Trevor Ariza,18:54,0,3,.000,0,3,.000,0,0,,1,4,5,1,0,0,1,3,0,-25
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Goran Dragić,24:02,5,11,.455,1,5,.200,7,8,.875,0,2,2,4,0,0,0,0,18,-9
7,Dewayne Dedmon,20:50,8,11,.727,1,2,.500,2,2,1.000,4,5,9,2,0,0,2,4,19,-15
8,Tyler Herro,17:35,1,5,.200,1,2,.500,1,1,1.000,0,3,3,1,1,0,0,0,4,-6
9,Andre Iguodala,13:43,1,1,1.000,0,0,,0,0,,2,2,4,1,0,1,3,1,2,-4
10,Nemanja Bjelica,12:00,1,5,.200,1,3,.333,1,2,.500,0,1,1,0,1,1,0,1,4,-5
11,Gabe Vincent,7:28,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,0,3,-5
12,Precious Achiuwa,6:55,1,2,.500,0,0,,1,4,.250,0,3,3,0,0,0,0,0,3,-3
13,Max Strus,4:39,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
14,KZ Okpala,4:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-1
15,Udonis Haslem,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,33,82,.402,8,28,.286,24,35,.686,9,27,36,20,6,2,11,13,98,
