,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jayson Tatum,41:21,12,27,.444,4,11,.364,4,4,1.000,1,8,9,5,0,2,3,2,32,-14
1,Marcus Smart,38:59,5,17,.294,1,10,.100,3,4,.750,2,5,7,4,0,1,4,3,14,-11
2,Romeo Langford,37:39,7,12,.583,3,7,.429,0,0,,1,0,1,2,2,2,0,1,17,-7
3,Evan Fournier,35:59,8,17,.471,1,5,.200,1,2,.500,2,4,6,1,0,0,1,5,18,-8
4,Tristan Thompson,29:50,1,4,.250,0,0,,7,8,.875,4,5,9,1,0,4,0,3,9,-17
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Payton Pritchard,18:22,1,2,.500,1,2,.500,0,0,,1,3,4,4,0,0,1,1,3,-11
7,Jabari Parker,13:58,5,8,.625,1,3,.333,2,4,.500,0,3,3,0,0,1,1,2,13,+5
8,Grant Williams,12:10,1,3,.333,0,1,.000,1,1,1.000,1,2,3,1,1,2,1,3,3,-4
9,Aaron Nesmith,11:42,0,2,.000,0,1,.000,0,0,,1,1,2,0,0,0,0,1,0,-3
10,Tremont Waters,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Tacko Fall,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Carsen Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Luke Kornet,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Semi Ojeleye,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Team Totals,240,40,92,.435,11,40,.275,18,23,.783,13,31,44,18,3,12,11,21,109,
