,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,James Harden,39:18,10,17,.588,4,7,.571,10,11,.909,1,9,10,10,2,2,1,4,34,+22
1,Kyrie Irving,37:55,9,14,.643,3,7,.429,4,6,.667,0,3,3,3,0,1,0,1,25,+23
2,Kevin Durant,37:03,8,16,.500,4,6,.667,4,4,1.000,0,4,4,3,0,3,2,3,24,+16
3,Joe Harris,35:21,3,8,.375,2,5,.400,2,2,1.000,0,3,3,6,0,0,1,5,10,-2
4,Blake Griffin,18:18,3,4,.750,0,0,,0,0,,1,3,4,0,0,0,0,4,6,0
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Bruce Brown,23:53,4,8,.500,0,1,.000,2,2,1.000,2,3,5,3,4,0,2,1,10,+5
7,Landry Shamet,22:16,2,6,.333,1,3,.333,0,0,,0,2,2,1,0,0,1,1,5,+8
8,Nicolas Claxton,12:04,3,7,.429,0,0,,0,0,,2,2,4,0,0,1,0,1,6,-4
9,Tyler Johnson,10:58,1,3,.333,1,2,.500,0,0,,1,3,4,0,0,0,1,1,3,+2
10,Timothé Luwawu-Cabarrot,0:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
11,Mike James,0:58,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0
12,Chris Chiozza,0:58,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
13,Reggie Perry,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Alize Johnson,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
15,DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,43,84,.512,15,32,.469,22,25,.880,7,32,39,26,6,7,8,21,123,
