,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Dorian Finney-Smith,41:48,3,8,.375,3,7,.429,2,2,1.000,0,7,7,4,2,0,3,2,11,-8
1,Luka Dončić,40:36,11,24,.458,2,9,.222,5,5,1.000,0,8,8,11,4,0,3,3,29,-8
2,Tim Hardaway,37:58,9,19,.474,4,11,.364,1,1,1.000,1,0,1,0,0,0,0,4,23,-8
3,Kristaps Porziņģis,30:58,3,7,.429,1,3,.333,0,0,,1,4,5,3,3,1,1,2,7,+2
4,Boban Marjanović,17:10,5,13,.385,0,0,,2,2,1.000,4,5,9,1,0,0,1,3,12,+5
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Maxi Kleber,21:21,0,4,.000,0,1,.000,0,0,,1,2,3,0,0,0,0,0,0,-13
7,Willie Cauley-Stein,18:54,1,2,.500,0,0,,0,0,,0,4,4,1,0,1,0,1,2,-13
8,Jalen Brunson,14:53,3,8,.375,1,2,.500,0,2,.000,1,3,4,0,0,0,2,2,7,+9
9,Josh Richardson,9:29,2,4,.500,0,1,.000,2,2,1.000,0,1,1,1,0,0,1,2,6,-4
10,Dwight Powell,6:53,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,2,0,+3
11,Tyler Bey,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Trey Burke,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Nicolò Melli,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Nate Hinton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Josh Green,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,37,89,.416,11,34,.324,12,14,.857,8,34,42,23,9,2,11,21,97,
