,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Jonas Valančiūnas,39:21,7,14,.500,0,0,,1,2,.500,6,6,12,3,0,1,2,5,15,+15
1,Dillon Brooks,36:05,13,26,.500,2,5,.400,3,6,.500,3,4,7,2,2,2,1,2,31,+14
2,Ja Morant,35:53,11,21,.524,0,1,.000,4,4,1.000,1,3,4,4,1,0,1,2,26,+6
3,Kyle Anderson,30:51,5,10,.500,1,2,.500,3,4,.750,1,3,4,3,6,0,1,5,14,+9
4,Jaren Jackson,23:45,2,8,.250,1,5,.200,2,2,1.000,1,2,3,0,3,1,1,4,7,-19
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Grayson Allen,22:37,2,4,.500,1,2,.500,0,1,.000,0,1,1,0,0,0,0,2,5,-10
7,Desmond Bane,18:18,3,4,.750,2,3,.667,0,0,,1,3,4,1,0,0,1,0,8,+23
8,De'Anthony Melton,13:02,0,4,.000,0,2,.000,0,0,,1,1,2,2,0,1,1,1,0,-10
9,Tyus Jones,12:07,2,6,.333,0,0,,2,2,1.000,1,2,3,3,0,0,0,0,6,-3
10,Xavier Tillman,8:01,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,1,2,0,-10
11,Brandon Clarke,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Tim Frazier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Justise Winslow,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,John Konchar,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Killian Tillie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,45,100,.450,7,20,.350,15,21,.714,16,26,42,18,12,5,9,23,112,
