,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Royce O'Neale,34:44,3,7,.429,3,5,.600,0,0,,1,8,9,1,3,0,0,2,9,+5
1,Donovan Mitchell,34:42,8,22,.364,2,7,.286,12,13,.923,1,1,2,8,2,1,4,2,30,+3
2,Bojan Bogdanović,33:00,5,10,.500,3,5,.600,0,0,,0,2,2,2,0,0,1,3,13,+7
3,Rudy Gobert,32:26,5,9,.556,0,0,,7,9,.778,2,6,8,1,0,2,0,3,17,+4
4,Mike Conley,32:06,3,6,.500,3,4,.750,2,2,1.000,0,3,3,7,1,1,2,2,11,+6
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Joe Ingles,23:48,1,4,.250,0,2,.000,0,0,,0,5,5,4,1,0,1,2,2,+3
7,Jordan Clarkson,21:30,8,18,.444,4,9,.444,4,4,1.000,0,6,6,0,0,0,3,1,24,0
8,Derrick Favors,15:34,4,5,.800,0,0,,0,0,,3,2,5,0,0,0,0,1,8,+3
9,Georges Niang,12:10,2,4,.500,2,2,1.000,0,0,,0,2,2,0,0,0,0,0,6,+4
10,Miye Oni,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Ersan İlyasova,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Jarrell Brantley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Matt Thomas,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Juwan Morgan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Trent Forrest,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,39,85,.459,17,34,.500,25,28,.893,7,35,42,23,7,4,11,16,120,
