,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Bogdan Bogdanović,39:12,6,12,.500,3,4,.750,0,0,,1,7,8,3,1,0,1,4,15,+11
1,Trae Young,36:53,8,19,.421,2,6,.333,3,4,.750,0,1,1,14,0,0,2,2,21,+9
2,De'Andre Hunter,35:01,5,11,.455,1,1,1.000,0,0,,0,5,5,2,0,1,1,2,11,+10
3,Clint Capela,33:54,6,8,.750,0,0,,1,2,.500,2,10,12,2,0,2,1,2,13,+15
4,John Collins,30:35,6,11,.545,2,5,.400,0,0,,0,6,6,2,0,0,0,4,14,+10
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Danilo Gallinari,23:43,4,8,.500,4,4,1.000,0,0,,0,4,4,1,1,0,1,4,12,+3
7,Kevin Huerter,19:10,3,5,.600,3,4,.750,1,2,.500,1,2,3,2,0,1,1,2,10,+2
8,Lou Williams,11:07,4,6,.667,1,2,.500,0,0,,0,0,0,2,0,0,3,0,9,+2
9,Onyeka Okongwu,5:49,0,0,,0,0,,0,0,,0,2,2,0,0,1,1,2,0,-3
10,Solomon Hill,4:36,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-4
11,Tony Snell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Kris Dunn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Nathan Knight,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,42,81,.519,16,27,.593,5,8,.625,4,38,42,28,2,5,11,23,105,
