,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Derrick Rose,38:54,13,21,.619,3,5,.600,1,1,1.000,2,4,6,5,1,0,2,2,30,-16
1,Reggie Bullock,38:25,3,8,.375,2,6,.333,3,3,1.000,3,2,5,1,1,0,1,3,11,-6
2,Julius Randle,35:03,2,15,.133,2,7,.286,8,8,1.000,2,9,11,2,0,0,3,5,14,-9
3,RJ Barrett,28:55,2,9,.222,1,5,.200,2,2,1.000,1,3,4,3,1,1,1,2,7,-9
4,Taj Gibson,26:20,2,6,.333,0,0,,0,0,,1,5,6,0,0,1,0,3,4,-8
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Alec Burks,22:48,2,8,.250,1,5,.200,3,3,1.000,0,2,2,2,0,0,2,0,8,+3
7,Nerlens Noel,21:40,1,2,.500,0,0,,10,12,.833,3,5,8,1,3,0,2,3,12,-3
8,Immanuel Quickley,14:56,2,8,.250,0,1,.000,0,1,.000,0,0,0,0,0,0,0,2,4,-3
9,Obi Toppin,12:57,2,4,.500,0,1,.000,0,0,,1,2,3,0,0,0,0,1,4,-2
10,Frank Ntilikina,0:02,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
11,Elfrid Payton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Kevin Knox,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Jared Harper,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Theo Pinson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Norvel Pelle,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,29,81,.358,9,30,.300,27,30,.900,13,32,45,14,6,2,11,21,94,
