,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Anthony Davis,40:20,11,22,.500,0,2,.000,12,14,.857,6,5,11,0,1,1,5,5,34,+11
1,LeBron James,37:45,9,19,.474,1,5,.200,2,3,.667,1,5,6,9,1,0,7,0,21,+15
2,Dennis Schröder,33:03,6,11,.545,1,4,.250,7,8,.875,1,2,3,4,2,0,3,1,20,+6
3,Kentavious Caldwell-Pope,25:57,2,4,.500,0,2,.000,1,1,1.000,1,3,4,0,2,0,0,3,5,+10
4,Andre Drummond,20:07,3,6,.500,0,0,,0,0,,3,8,11,0,1,1,2,2,6,+12
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Kyle Kuzma,23:44,2,12,.167,2,8,.250,2,2,1.000,3,7,10,3,0,0,0,1,8,+14
7,Alex Caruso,20:26,2,5,.400,0,1,.000,0,0,,0,2,2,1,1,2,1,1,4,+5
8,Wesley Matthews,18:28,2,5,.400,2,4,.500,2,2,1.000,0,0,0,0,0,0,0,2,8,+8
9,Marc Gasol,16:36,1,1,1.000,1,1,1.000,0,0,,0,3,3,2,2,0,2,3,3,-11
10,Ben McLemore,3:34,0,1,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,0
11,Markieff Morris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Jared Dudley,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Montrezl Harrell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Talen Horton-Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Alfonzo McKinnie,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,38,86,.442,7,28,.250,26,30,.867,15,36,51,19,10,4,20,19,109,
