,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Facundo Campazzo,26:53,3,10,.300,2,7,.286,4,5,.800,0,2,2,7,2,0,0,4,12,-20
1,Nikola Jokić,26:41,7,18,.389,1,4,.250,1,2,.500,3,6,9,1,0,0,2,3,16,-32
2,Austin Rivers,24:20,2,5,.400,2,3,.667,2,2,1.000,0,2,2,0,1,0,1,2,8,-28
3,Michael Porter,22:54,1,3,.333,1,3,.333,0,0,,1,4,5,0,0,0,2,2,3,-17
4,Aaron Gordon,18:15,2,7,.286,0,2,.000,2,2,1.000,2,2,4,0,0,0,0,1,6,-30
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Markus Howard,26:46,3,14,.214,3,10,.300,0,0,,1,2,3,1,0,0,0,1,9,+2
7,Monte Morris,25:18,5,12,.417,2,4,.500,0,0,,1,2,3,4,1,0,0,0,12,+6
8,JaMychal Green,21:24,4,10,.400,1,4,.250,2,2,1.000,2,3,5,2,0,1,0,3,11,+6
9,Paul Millsap,14:05,3,7,.429,0,3,.000,3,4,.750,3,3,6,2,0,1,0,0,9,+9
10,Shaquille Harrison,12:37,1,2,.500,1,1,1.000,0,0,,0,1,1,0,0,0,2,0,3,-6
11,Vlatko Čančar,8:21,1,1,1.000,0,0,,4,5,.800,0,1,1,1,0,1,0,0,6,+4
12,JaVale McGee,7:14,0,3,.000,0,1,.000,0,0,,0,4,4,0,1,2,0,2,0,+3
13,Zeke Nnaji,5:12,0,2,.000,0,2,.000,0,0,,1,1,2,2,0,0,0,0,0,+3
14,Bol Bol,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Team Totals,240,32,94,.340,13,44,.295,18,22,.818,14,33,47,20,5,5,7,18,95,
