,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Paul George,40:14,9,20,.450,4,10,.400,9,10,.900,2,7,9,4,1,0,4,5,31,+4
1,Marcus Morris,34:50,6,11,.545,5,6,.833,7,8,.875,1,5,6,1,1,0,0,3,24,+11
2,Kawhi Leonard,34:18,9,19,.474,3,7,.429,10,13,.769,2,5,7,3,2,1,2,3,31,+14
3,Nicolas Batum,32:11,2,8,.250,1,6,.167,2,2,1.000,2,5,7,4,3,1,0,1,7,+11
4,Reggie Jackson,28:32,2,4,.500,0,2,.000,0,0,,0,1,1,3,0,0,0,3,4,+9
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Patrick Beverley,20:20,1,1,1.000,0,0,,0,0,,0,3,3,3,1,4,1,1,2,+3
7,Ivica Zubac,17:44,3,3,1.000,0,0,,2,4,.500,2,3,5,1,0,1,3,5,8,0
8,Terance Mann,15:13,1,5,.200,0,2,.000,1,1,1.000,1,3,4,0,0,0,0,2,3,+15
9,Luke Kennard,12:07,3,5,.600,2,4,.500,0,0,,0,1,1,0,0,0,0,1,8,+6
10,Daniel Oturu,1:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
11,Yogi Ferrell,1:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-1
12,Amir Coffey,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
13,Jay Scrubb,1:04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0
14,DeMarcus Cousins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Patrick Patterson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,36,77,.468,15,37,.405,31,38,.816,10,34,44,19,8,7,10,24,118,
