,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Donovan Mitchell,39:40,9,26,.346,6,15,.400,13,15,.867,1,4,5,5,1,0,5,5,37,-15
1,Bojan Bogdanović,38:55,6,12,.500,2,5,.400,4,5,.800,0,3,3,5,2,0,1,5,18,-8
2,Royce O'Neale,36:58,3,6,.500,2,4,.500,0,0,,0,8,8,2,0,0,2,4,8,-12
3,Rudy Gobert,31:31,4,4,1.000,0,0,,3,4,.750,2,6,8,0,0,1,0,5,11,-1
4,Joe Ingles,27:26,7,9,.778,5,7,.714,0,0,,0,3,3,3,1,0,0,4,19,+4
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Jordan Clarkson,30:11,3,12,.250,2,8,.250,0,0,,1,4,5,2,0,0,3,2,8,-16
7,Derrick Favors,15:20,1,4,.250,0,0,,0,0,,4,0,4,0,0,2,0,3,2,-14
8,Georges Niang,12:52,0,2,.000,0,2,.000,0,0,,0,2,2,2,0,0,0,4,0,-13
9,Miye Oni,2:31,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,+1
10,Jarrell Brantley,1:09,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,+1
11,Udoka Azubuike,1:09,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
12,Matt Thomas,1:09,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
13,Trent Forrest,1:09,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+1
14,Ersan İlyasova,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Juwan Morgan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,33,77,.429,17,42,.405,21,26,.808,8,31,39,19,4,3,11,32,104,
