,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Joel Embiid,38:03,12,21,.571,1,3,.333,14,15,.933,2,7,9,4,1,3,4,4,39,+13
1,Ben Simmons,37:13,7,7,1.000,0,0,,3,10,.300,0,4,4,10,4,1,5,4,17,+4
2,Seth Curry,36:23,7,12,.583,5,9,.556,2,2,1.000,0,4,4,3,0,0,0,2,21,+16
3,Tobias Harris,35:52,8,13,.615,1,4,.250,3,4,.750,2,8,10,3,3,0,3,0,20,+9
4,Danny Green,29:55,2,7,.286,0,4,.000,0,0,,1,1,2,4,2,0,1,4,4,+5
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Matisse Thybulle,18:35,4,6,.667,2,4,.500,0,0,,0,1,1,1,1,1,0,2,10,-12
7,Tyrese Maxey,13:46,2,8,.250,0,2,.000,2,4,.500,0,2,2,0,0,0,1,3,6,-9
8,Furkan Korkmaz,10:54,3,5,.600,1,2,.500,0,0,,1,3,4,0,0,0,1,0,7,-12
9,George Hill,10:30,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,1,1,0,-17
10,Dwight Howard,8:11,0,1,.000,0,0,,0,0,,1,3,4,0,1,0,2,2,0,-15
11,Shake Milton,0:38,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2
12,Isaiah Joe,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Anthony Tolliver,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Mike Scott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Paul Reed,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,45,82,.549,10,29,.345,24,35,.686,8,33,41,25,12,5,19,22,124,
