,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Kevin Huerter,44:13,7,15,.467,2,6,.333,1,2,.500,2,9,11,4,1,1,0,3,17,-6
1,Trae Young,40:11,13,30,.433,5,10,.500,3,5,.600,0,5,5,12,3,0,4,4,34,+7
2,Clint Capela,37:54,6,10,.600,0,0,,2,6,.333,3,8,11,1,0,0,1,2,14,-1
3,John Collins,37:09,2,8,.250,0,3,.000,3,3,1.000,1,9,10,0,0,0,2,2,7,+7
4,Bogdan Bogdanović,28:37,3,11,.273,1,6,.167,0,2,.000,0,2,2,1,2,1,3,2,7,0
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Danilo Gallinari,23:23,5,10,.500,2,5,.400,4,4,1.000,0,1,1,0,0,0,0,4,16,-3
7,Lou Williams,11:11,0,5,.000,0,1,.000,0,0,,0,3,3,1,0,0,2,3,0,-10
8,Onyeka Okongwu,9:46,2,3,.667,0,0,,0,2,.000,1,1,2,0,0,1,0,0,4,-6
9,Solomon Hill,7:36,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,-13
10,Skylar Mays,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Tony Snell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Kris Dunn,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Nathan Knight,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Team Totals,240,38,92,.413,10,31,.323,13,24,.542,8,39,47,19,6,3,12,22,99,
