,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Kevin Durant,41:54,9,25,.360,1,8,.125,9,10,.900,0,13,13,5,1,1,5,3,28,-23
1,Joe Harris,38:04,3,8,.375,2,6,.333,0,0,,0,4,4,1,0,0,2,1,8,-17
2,Blake Griffin,24:42,3,8,.375,1,4,.250,1,2,.500,1,4,5,3,1,0,0,1,8,-15
3,Bruce Brown,20:59,3,5,.600,0,1,.000,1,2,.500,0,1,1,2,1,0,1,2,7,+3
4,Kyrie Irving,17:17,5,11,.455,1,2,.500,0,0,,0,5,5,2,1,1,2,1,11,-4
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Jeff Green,26:33,2,4,.500,1,2,.500,3,4,.750,0,5,5,1,0,0,2,2,8,-4
7,Mike James,19:59,2,6,.333,1,3,.333,0,0,,0,3,3,1,1,0,2,1,5,-17
8,Nicolas Claxton,12:54,2,2,1.000,0,0,,0,0,,0,1,1,3,1,1,1,4,4,0
9,Landry Shamet,11:04,2,3,.667,1,2,.500,0,0,,1,0,1,0,0,0,1,1,5,+1
10,Tyler Johnson,8:42,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,3,2,+5
11,Chris Chiozza,4:28,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,5,+4
12,Timothé Luwawu-Cabarrot,4:28,1,3,.333,1,3,.333,0,0,,0,0,0,1,0,0,0,0,3,+4
13,Reggie Perry,4:28,1,2,.500,0,0,,0,0,,0,1,1,1,1,0,0,0,2,+4
14,Alize Johnson,4:28,0,0,,0,0,,0,0,,1,3,4,0,0,0,1,0,0,+4
15,DeAndre Jordan,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,36,83,.434,10,33,.303,14,18,.778,3,40,43,20,7,3,17,20,96,
