,Unnamed: 0_level_0,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats,Advanced Box Score Stats
,Starters,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
0,Khris Middleton,52:21,.421,.385,.269,.115,7.6,14.8,10.8,17.9,5.4,0.0,9.9,26.9,102,112,1.7
1,Giannis Antetokounmpo,50:08,.663,.667,.250,.583,4.0,28.4,14.6,19.5,0.0,2.3,9.0,30.7,133,119,10.8
2,Jrue Holiday,48:16,.272,.261,.391,.087,4.1,13.4,8.2,23.4,0.0,0.0,4.0,23.9,87,125,-11.3
3,Brook Lopez,46:24,.800,.773,.364,.182,10.8,8.4,9.7,3.3,1.2,10.2,0.0,11.9,179,118,10.2
4,P.J. Tucker,38:19,.611,.611,.556,.000,10.4,3.4,7.4,0.0,4.4,6.1,0.0,10.9,148,114,5.5
5,Reserves,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
6,Pat Connaughton,23:20,.900,.900,1.000,.000,4.3,16.6,9.7,0.0,0.0,0.0,0.0,9.9,188,124,4.6
7,Bryn Forbes,5:21,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,129,-8.9
8,Thanasis Antetokounmpo,0:51,,,,,0.0,100.0,66.3,0.0,0.0,0.0,,0.0,0,82,-21.8
9,Bobby Portis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,Jeff Teague,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,Sam Merrill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Justin Jackson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Axel Toupane,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Elijah Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Mamadi Diakite,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,265,.536,.515,.367,.214,34.0,73.2,51.1,46.5,9.6,15.6,6.1,100.0,122.7,118.4,
