,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Will Barton,39:20,9,21,.429,3,9,.333,4,4,1.000,0,5,5,2,2,0,2,3,25,+2
1,Michael Porter,36:16,7,16,.438,3,8,.375,3,4,.750,1,3,4,0,3,1,0,2,20,+2
2,Monte Morris,34:39,8,15,.533,2,4,.500,1,3,.333,0,0,0,6,0,0,1,2,19,-17
3,Aaron Gordon,32:40,3,8,.375,0,1,.000,2,2,1.000,1,5,6,4,1,0,3,3,8,-14
4,Nikola Jokić,28:17,9,17,.529,1,4,.250,3,4,.750,2,9,11,4,0,1,0,2,22,-10
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Facundo Campazzo,21:37,5,10,.500,4,7,.571,0,0,,0,0,0,2,0,0,0,5,14,+1
7,Austin Rivers,20:51,2,6,.333,1,3,.333,0,0,,0,1,1,2,0,0,1,5,5,-1
8,JaVale McGee,19:40,2,4,.500,0,0,,1,4,.250,3,4,7,2,0,1,1,2,5,+5
9,JaMychal Green,6:08,0,1,.000,0,1,.000,0,0,,0,3,3,0,0,0,0,0,0,+1
10,Shaquille Harrison,0:32,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4
11,Markus Howard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,Paul Millsap,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,Zeke Nnaji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,Vlatko Čančar,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,Bol Bol,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,45,98,.459,14,37,.378,14,21,.667,7,30,37,22,6,3,8,24,118,
