,Unnamed: 0_level_0,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats,Basic Box Score Stats
,Starters,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
0,Devin Booker,33:04,6,14,.429,3,7,.429,3,3,1.000,0,10,10,2,1,0,2,1,18,+16
1,Chris Paul,30:31,6,10,.600,2,2,1.000,3,3,1.000,1,4,5,15,0,1,0,2,17,+26
2,Mikal Bridges,28:36,5,12,.417,2,8,.250,4,4,1.000,1,1,2,0,0,0,0,2,16,+28
3,Deandre Ayton,25:40,6,10,.600,0,0,,3,4,.750,2,8,10,0,0,0,3,2,15,+16
4,Jae Crowder,25:28,4,5,.800,3,4,.750,0,0,,0,5,5,0,1,1,0,1,11,+20
5,Reserves,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
6,Cameron Johnson,20:11,2,8,.250,2,5,.400,1,2,.500,0,3,3,0,1,0,0,0,7,+12
7,Dario Šarić,16:15,3,6,.500,2,3,.667,0,0,,0,4,4,1,0,0,0,1,8,+15
8,Cameron Payne,15:15,3,5,.600,1,3,.333,0,0,,0,3,3,1,0,0,1,5,7,+9
9,Torrey Craig,14:35,4,8,.500,1,2,.500,1,1,1.000,2,2,4,3,0,1,0,1,10,+13
10,E'Twaun Moore,6:05,3,6,.500,1,2,.500,0,0,,0,1,1,1,0,0,1,0,7,-6
11,Frank Kaminsky,6:05,2,3,.667,1,1,1.000,0,0,,0,2,2,2,0,0,0,0,5,-6
12,Jevon Carter,6:05,1,3,.333,0,1,.000,0,0,,0,0,0,2,0,0,0,0,2,-6
13,Jalen Smith,6:05,0,2,.000,0,0,,0,0,,2,0,2,0,0,0,0,2,0,-6
14,Langston Galloway,6:05,0,2,.000,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-6
15,Ty-Shon Alexander,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,Team Totals,240,45,94,.479,18,38,.474,15,17,.882,8,44,52,27,3,4,7,18,123,
